semantic_class,target,seed,f1,auc_roc,top10_features,dominant_feature
DoS,CIC,46,1.0,1.0,DURATION_OUT;MAX_TTL;MIN_TTL;L7_PROTO;SHORTEST_FLOW_PKT;DURATION_IN;L4_DST_PORT;FLOW_DURATION_MILLISECONDS;TCP_WIN_MAX_IN;NUM_PKTS_256_TO_512_BYTES,DURATION_OUT
DoS,CIC,47,1.0,1.0,DURATION_OUT;MAX_TTL;TCP_WIN_MAX_IN;L7_PROTO;MIN_TTL;DURATION_IN;SHORTEST_FLOW_PKT;L4_DST_PORT;NUM_PKTS_256_TO_512_BYTES;FLOW_DURATION_MILLISECONDS,DURATION_OUT
DoS,CIC,48,1.0,1.0,DURATION_OUT;MAX_TTL;TCP_WIN_MAX_IN;MIN_TTL;NUM_PKTS_256_TO_512_BYTES;L7_PROTO;SHORTEST_FLOW_PKT;L4_DST_PORT;FLOW_DURATION_MILLISECONDS;DURATION_IN,DURATION_OUT
DoS,CIC,49,0.999667,1.0,DURATION_OUT;MAX_TTL;MIN_TTL;L7_PROTO;TCP_WIN_MAX_IN;L4_DST_PORT;SHORTEST_FLOW_PKT;L4_SRC_PORT;FLOW_DURATION_MILLISECONDS;DURATION_IN,DURATION_OUT
DoS,CIC,50,0.99975,1.0,DURATION_OUT;MAX_TTL;MIN_TTL;NUM_PKTS_256_TO_512_BYTES;L7_PROTO;TCP_WIN_MAX_IN;FLOW_DURATION_MILLISECONDS;DURATION_IN;L4_SRC_PORT;L4_DST_PORT,DURATION_OUT
DoS,CIC,51,0.999917,1.0,DURATION_OUT;MAX_TTL;TCP_WIN_MAX_IN;MIN_TTL;L7_PROTO;SHORTEST_FLOW_PKT;L4_DST_PORT;DURATION_IN;FLOW_DURATION_MILLISECONDS;L4_SRC_PORT,DURATION_OUT
DoS,CIC,52,1.0,1.0,DURATION_OUT;MAX_TTL;MIN_TTL;TCP_WIN_MAX_IN;L7_PROTO;L4_DST_PORT;DURATION_IN;FLOW_DURATION_MILLISECONDS;SHORTEST_FLOW_PKT;L4_SRC_PORT,DURATION_OUT
DoS,CIC,53,0.999917,0.999998,DURATION_OUT;MIN_TTL;MAX_TTL;L4_SRC_PORT;L7_PROTO;DURATION_IN;SHORTEST_FLOW_PKT;L4_DST_PORT;FLOW_DURATION_MILLISECONDS;NUM_PKTS_256_TO_512_BYTES,DURATION_OUT
DoS,CIC,54,0.999917,1.0,DURATION_OUT;MIN_TTL;MAX_TTL;TCP_WIN_MAX_IN;L7_PROTO;L4_DST_PORT;DURATION_IN;FLOW_DURATION_MILLISECONDS;NUM_PKTS_256_TO_512_BYTES;L4_SRC_PORT,DURATION_OUT
DoS,CIC,55,0.999917,1.0,DURATION_OUT;MAX_TTL;MIN_TTL;L7_PROTO;TCP_WIN_MAX_IN;DURATION_IN;L4_DST_PORT;SHORTEST_FLOW_PKT;FLOW_DURATION_MILLISECONDS;L4_SRC_PORT,DURATION_OUT
DoS,CIC,56,1.0,1.0,DURATION_OUT;MAX_TTL;MIN_TTL;L4_DST_PORT;L7_PROTO;TCP_WIN_MAX_IN;SHORTEST_FLOW_PKT;DURATION_IN;L4_SRC_PORT;FLOW_DURATION_MILLISECONDS,DURATION_OUT
DoS,CIC,57,0.999917,1.0,DURATION_OUT;MIN_TTL;MAX_TTL;L7_PROTO;DURATION_IN;TCP_WIN_MAX_IN;L4_DST_PORT;SHORTEST_FLOW_PKT;L4_SRC_PORT;NUM_PKTS_256_TO_512_BYTES,DURATION_OUT
DoS,CIC,58,0.999917,1.0,DURATION_OUT;MIN_TTL;MAX_TTL;L7_PROTO;DURATION_IN;L4_SRC_PORT;L4_DST_PORT;TCP_WIN_MAX_IN;SHORTEST_FLOW_PKT;NUM_PKTS_256_TO_512_BYTES,DURATION_OUT
DoS,CIC,59,1.0,1.0,DURATION_OUT;MIN_TTL;MAX_TTL;TCP_WIN_MAX_IN;L7_PROTO;NUM_PKTS_256_TO_512_BYTES;L4_DST_PORT;L4_SRC_PORT;FLOW_DURATION_MILLISECONDS;SHORTEST_FLOW_PKT,DURATION_OUT
DoS,CIC,60,1.0,1.0,DURATION_OUT;MAX_TTL;MIN_TTL;L7_PROTO;SHORTEST_FLOW_PKT;TCP_WIN_MAX_IN;L4_DST_PORT;DURATION_IN;L4_SRC_PORT;FLOW_DURATION_MILLISECONDS,DURATION_OUT
DoS,CIC,61,0.999917,1.0,DURATION_OUT;MAX_TTL;MIN_TTL;L4_DST_PORT;L7_PROTO;TCP_WIN_MAX_IN;SHORTEST_FLOW_PKT;L4_SRC_PORT;DURATION_IN;FLOW_DURATION_MILLISECONDS,DURATION_OUT
DoS,CIC,62,1.0,1.0,DURATION_OUT;MAX_TTL;MIN_TTL;TCP_WIN_MAX_IN;L7_PROTO;DURATION_IN;L4_DST_PORT;SHORTEST_FLOW_PKT;L4_SRC_PORT;FLOW_DURATION_MILLISECONDS,DURATION_OUT
DoS,CIC,63,0.999917,1.0,DURATION_OUT;MIN_TTL;MAX_TTL;SHORTEST_FLOW_PKT;L7_PROTO;TCP_WIN_MAX_IN;L4_DST_PORT;FLOW_DURATION_MILLISECONDS;DURATION_IN;L4_SRC_PORT,DURATION_OUT
DoS,CIC,64,0.999917,1.0,DURATION_OUT;MIN_TTL;MAX_TTL;L7_PROTO;TCP_WIN_MAX_IN;L4_DST_PORT;SHORTEST_FLOW_PKT;FLOW_DURATION_MILLISECONDS;DURATION_IN;TCP_FLAGS,DURATION_OUT
DoS,CIC,65,1.0,1.0,DURATION_OUT;MAX_TTL;MIN_TTL;L7_PROTO;L4_DST_PORT;SHORTEST_FLOW_PKT;TCP_WIN_MAX_IN;DURATION_IN;L4_SRC_PORT;FLOW_DURATION_MILLISECONDS,DURATION_OUT
DoS,CIC,66,0.999917,1.0,DURATION_OUT;MIN_TTL;MAX_TTL;L7_PROTO;L4_DST_PORT;TCP_WIN_MAX_IN;DURATION_IN;L4_SRC_PORT;SHORTEST_FLOW_PKT;TCP_FLAGS,DURATION_OUT
DoS,CIC,67,0.999917,1.0,DURATION_OUT;MAX_TTL;MIN_TTL;L7_PROTO;TCP_WIN_MAX_IN;SHORTEST_FLOW_PKT;L4_DST_PORT;TCP_FLAGS;DURATION_IN;L4_SRC_PORT,DURATION_OUT
DoS,CIC,68,1.0,1.0,DURATION_OUT;MIN_TTL;MAX_TTL;TCP_WIN_MAX_IN;L7_PROTO;L4_DST_PORT;SHORTEST_FLOW_PKT;DURATION_IN;FLOW_DURATION_MILLISECONDS;L4_SRC_PORT,DURATION_OUT
DoS,CIC,69,0.999917,1.0,DURATION_OUT;MAX_TTL;MIN_TTL;L7_PROTO;L4_DST_PORT;DURATION_IN;TCP_WIN_MAX_IN;FLOW_DURATION_MILLISECONDS;SHORTEST_FLOW_PKT;NUM_PKTS_256_TO_512_BYTES,DURATION_OUT
DoS,CIC,70,1.0,1.0,DURATION_OUT;MIN_TTL;MAX_TTL;TCP_WIN_MAX_IN;L4_DST_PORT;L7_PROTO;FLOW_DURATION_MILLISECONDS;SHORTEST_FLOW_PKT;DURATION_IN;L4_SRC_PORT,DURATION_OUT
DoS,CIC,71,0.999917,1.0,DURATION_OUT;MAX_TTL;MIN_TTL;L7_PROTO;SHORTEST_FLOW_PKT;DURATION_IN;TCP_WIN_MAX_IN;L4_DST_PORT;L4_SRC_PORT;FLOW_DURATION_MILLISECONDS,DURATION_OUT
DoS,ToN,42,0.900472,0.997851,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;MIN_TTL;DNS_TTL_ANSWER;SRC_TO_DST_AVG_THROUGHPUT;IN_BYTES;L4_SRC_PORT;DNS_QUERY_ID;DST_TO_SRC_AVG_THROUGHPUT,TCP_WIN_MAX_IN
DoS,ToN,43,0.90205,0.997837,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;DNS_QUERY_TYPE;MIN_TTL;DNS_TTL_ANSWER;DST_TO_SRC_AVG_THROUGHPUT;MIN_IP_PKT_LEN;L4_SRC_PORT;SRC_TO_DST_AVG_THROUGHPUT;DNS_QUERY_ID,TCP_WIN_MAX_IN
DoS,ToN,44,0.89738,0.997834,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;IN_PKTS;DNS_TTL_ANSWER;MIN_TTL;SRC_TO_DST_AVG_THROUGHPUT;SRC_TO_DST_SECOND_BYTES;DST_TO_SRC_AVG_THROUGHPUT;DNS_QUERY_ID,TCP_WIN_MAX_IN
