semantic_class,target,seed,n_test_pos_used,top10_features,dominant_feature
DoS,CIC,47,3000,DURATION_OUT;MAX_TTL;TCP_WIN_MAX_IN;L7_PROTO;MIN_TTL;DURATION_IN;SHORTEST_FLOW_PKT;L4_DST_PORT;NUM_PKTS_256_TO_512_BYTES;FLOW_DURATION_MILLISECONDS,DURATION_OUT
DoS,CIC,48,3000,DURATION_OUT;MAX_TTL;TCP_WIN_MAX_IN;MIN_TTL;NUM_PKTS_256_TO_512_BYTES;L7_PROTO;SHORTEST_FLOW_PKT;L4_DST_PORT;DURATION_IN;FLOW_DURATION_MILLISECONDS,DURATION_OUT
DoS,CIC,49,3000,DURATION_OUT;MAX_TTL;MIN_TTL;L7_PROTO;TCP_WIN_MAX_IN;L4_DST_PORT;SHORTEST_FLOW_PKT;L4_SRC_PORT;FLOW_DURATION_MILLISECONDS;DURATION_IN,DURATION_OUT
DoS,CIC,50,3000,DURATION_OUT;MAX_TTL;MIN_TTL;NUM_PKTS_256_TO_512_BYTES;L7_PROTO;TCP_WIN_MAX_IN;FLOW_DURATION_MILLISECONDS;DURATION_IN;L4_SRC_PORT;L4_DST_PORT,DURATION_OUT
DoS,CIC,51,3000,DURATION_OUT;MAX_TTL;TCP_WIN_MAX_IN;MIN_TTL;L7_PROTO;SHORTEST_FLOW_PKT;L4_DST_PORT;DURATION_IN;FLOW_DURATION_MILLISECONDS;L4_SRC_PORT,DURATION_OUT
DoS,CIC,52,3000,DURATION_OUT;MAX_TTL;MIN_TTL;TCP_WIN_MAX_IN;L7_PROTO;L4_DST_PORT;DURATION_IN;FLOW_DURATION_MILLISECONDS;SHORTEST_FLOW_PKT;L4_SRC_PORT,DURATION_OUT
DoS,CIC,53,3000,DURATION_OUT;MIN_TTL;MAX_TTL;L4_SRC_PORT;L7_PROTO;DURATION_IN;SHORTEST_FLOW_PKT;L4_DST_PORT;FLOW_DURATION_MILLISECONDS;NUM_PKTS_256_TO_512_BYTES,DURATION_OUT
DoS,CIC,54,3000,DURATION_OUT;MIN_TTL;MAX_TTL;TCP_WIN_MAX_IN;L7_PROTO;L4_DST_PORT;DURATION_IN;FLOW_DURATION_MILLISECONDS;NUM_PKTS_256_TO_512_BYTES;L4_SRC_PORT,DURATION_OUT
DoS,CIC,55,3000,DURATION_OUT;MAX_TTL;MIN_TTL;L7_PROTO;TCP_WIN_MAX_IN;DURATION_IN;L4_DST_PORT;SHORTEST_FLOW_PKT;FLOW_DURATION_MILLISECONDS;L4_SRC_PORT,DURATION_OUT
DoS,CIC,56,3000,DURATION_OUT;MAX_TTL;MIN_TTL;L4_DST_PORT;L7_PROTO;TCP_WIN_MAX_IN;SHORTEST_FLOW_PKT;L4_SRC_PORT;DURATION_IN;FLOW_DURATION_MILLISECONDS,DURATION_OUT
DoS,CIC,57,3000,DURATION_OUT;MIN_TTL;MAX_TTL;L7_PROTO;TCP_WIN_MAX_IN;DURATION_IN;L4_DST_PORT;SHORTEST_FLOW_PKT;L4_SRC_PORT;NUM_PKTS_256_TO_512_BYTES,DURATION_OUT
DoS,CIC,58,3000,DURATION_OUT;MIN_TTL;MAX_TTL;L7_PROTO;DURATION_IN;L4_SRC_PORT;L4_DST_PORT;TCP_WIN_MAX_IN;SHORTEST_FLOW_PKT;NUM_PKTS_256_TO_512_BYTES,DURATION_OUT
DoS,CIC,59,3000,DURATION_OUT;MIN_TTL;MAX_TTL;TCP_WIN_MAX_IN;L7_PROTO;L4_DST_PORT;NUM_PKTS_256_TO_512_BYTES;L4_SRC_PORT;FLOW_DURATION_MILLISECONDS;SHORTEST_FLOW_PKT,DURATION_OUT
DoS,CIC,60,3000,DURATION_OUT;MAX_TTL;MIN_TTL;L7_PROTO;SHORTEST_FLOW_PKT;TCP_WIN_MAX_IN;L4_DST_PORT;DURATION_IN;L4_SRC_PORT;FLOW_DURATION_MILLISECONDS,DURATION_OUT
DoS,CIC,61,3000,DURATION_OUT;MAX_TTL;MIN_TTL;L4_DST_PORT;L7_PROTO;TCP_WIN_MAX_IN;SHORTEST_FLOW_PKT;L4_SRC_PORT;DURATION_IN;FLOW_DURATION_MILLISECONDS,DURATION_OUT
DoS,CIC,62,3000,DURATION_OUT;MAX_TTL;MIN_TTL;TCP_WIN_MAX_IN;L7_PROTO;DURATION_IN;L4_DST_PORT;SHORTEST_FLOW_PKT;L4_SRC_PORT;FLOW_DURATION_MILLISECONDS,DURATION_OUT
DoS,CIC,63,3000,DURATION_OUT;MIN_TTL;MAX_TTL;SHORTEST_FLOW_PKT;L7_PROTO;TCP_WIN_MAX_IN;L4_DST_PORT;FLOW_DURATION_MILLISECONDS;DURATION_IN;L4_SRC_PORT,DURATION_OUT
DoS,CIC,64,3000,DURATION_OUT;MIN_TTL;MAX_TTL;L7_PROTO;TCP_WIN_MAX_IN;L4_DST_PORT;SHORTEST_FLOW_PKT;FLOW_DURATION_MILLISECONDS;DURATION_IN;TCP_FLAGS,DURATION_OUT
DoS,CIC,65,3000,DURATION_OUT;MAX_TTL;MIN_TTL;L7_PROTO;L4_DST_PORT;SHORTEST_FLOW_PKT;TCP_WIN_MAX_IN;DURATION_IN;L4_SRC_PORT;FLOW_DURATION_MILLISECONDS,DURATION_OUT
DoS,CIC,66,3000,DURATION_OUT;MIN_TTL;MAX_TTL;L7_PROTO;L4_DST_PORT;TCP_WIN_MAX_IN;DURATION_IN;L4_SRC_PORT;SHORTEST_FLOW_PKT;TCP_FLAGS,DURATION_OUT
