semantic_class,target,source,condition,env_same,seed,f1,auc_roc
DoS,UNSW,CIC,SHAP-10,True,70,0.905794,0.994297
DoS,UNSW,ToN,SHAP-10,False,70,0.880889,0.993084
DoS,UNSW,BoT,SHAP-10,False,70,0.874142,0.992074
DoS,UNSW,Random,Random-10,True,70,0.883846,0.993622
DoS,UNSW,—,Full-40,True,71,0.923756,0.996052
DoS,UNSW,UNSW,Target-10,True,71,0.915933,0.995717
DoS,UNSW,CIC,SHAP-10,True,71,0.914445,0.995868
DoS,UNSW,ToN,SHAP-10,False,71,0.892452,0.99444
DoS,UNSW,BoT,SHAP-10,False,71,0.880062,0.993377
DoS,UNSW,Random,Random-10,True,71,0.900943,0.994826
DoS,CIC,—,Full-40,True,42,1.0,1.0
DoS,CIC,CIC,Target-10,True,42,1.0,1.0
DoS,CIC,UNSW,SHAP-10,True,42,1.0,1.0
DoS,CIC,ToN,SHAP-10,False,42,0.999417,1.0
DoS,CIC,BoT,SHAP-10,False,42,0.999417,0.999999
DoS,CIC,Random,Random-10,True,42,0.998835,0.999999
DoS,CIC,—,Full-40,True,43,1.0,1.0
DoS,CIC,CIC,Target-10,True,43,1.0,1.0
DoS,CIC,UNSW,SHAP-10,True,43,1.0,1.0
DoS,CIC,ToN,SHAP-10,False,43,0.99925,0.999999
DoS,CIC,BoT,SHAP-10,False,43,0.999167,0.999999
DoS,CIC,Random,Random-10,True,43,0.999833,1.0
DoS,CIC,—,Full-40,True,44,0.999917,0.999998
DoS,CIC,CIC,Target-10,True,44,0.999917,1.0
DoS,CIC,UNSW,SHAP-10,True,44,0.999917,1.0
DoS,CIC,ToN,SHAP-10,False,44,0.999667,1.0
DoS,CIC,BoT,SHAP-10,False,44,0.999584,1.0
DoS,CIC,Random,Random-10,True,44,0.991231,0.99998
DoS,CIC,—,Full-40,True,45,0.999833,1.0
DoS,CIC,CIC,Target-10,True,45,0.999833,0.999999
DoS,CIC,UNSW,SHAP-10,True,45,0.999833,1.0
DoS,CIC,ToN,SHAP-10,False,45,0.999334,1.0
DoS,CIC,BoT,SHAP-10,False,45,0.99925,1.0
DoS,CIC,Random,Random-10,True,45,0.973605,0.999957
DoS,CIC,—,Full-40,True,46,1.0,1.0
DoS,CIC,CIC,Target-10,True,46,1.0,1.0
DoS,CIC,UNSW,SHAP-10,True,46,1.0,1.0
DoS,CIC,ToN,SHAP-10,False,46,0.999584,1.0
DoS,CIC,BoT,SHAP-10,False,46,0.999334,1.0
DoS,CIC,Random,Random-10,True,46,0.944287,0.99964
DoS,CIC,—,Full-40,True,47,1.0,1.0
DoS,CIC,CIC,Target-10,True,47,0.999917,1.0
DoS,CIC,UNSW,SHAP-10,True,47,1.0,1.0
DoS,CIC,ToN,SHAP-10,False,47,0.999001,0.999999
DoS,CIC,BoT,SHAP-10,False,47,0.998918,0.999999
DoS,CIC,Random,Random-10,True,47,1.0,1.0
DoS,CIC,—,Full-40,True,48,0.999917,1.0
DoS,CIC,CIC,Target-10,True,48,0.999833,1.0
DoS,CIC,UNSW,SHAP-10,True,48,0.999833,1.0
DoS,CIC,ToN,SHAP-10,False,48,0.999084,0.999999
DoS,CIC,BoT,SHAP-10,False,48,0.998917,0.999999
DoS,CIC,Random,Random-10,True,48,0.998168,0.999998
DoS,CIC,—,Full-40,True,49,0.999917,1.0
DoS,CIC,CIC,Target-10,True,49,0.999917,1.0
DoS,CIC,UNSW,SHAP-10,True,49,1.0,1.0
DoS,CIC,ToN,SHAP-10,False,49,0.9995,1.0
DoS,CIC,BoT,SHAP-10,False,49,0.999251,0.999999
DoS,CIC,Random,Random-10,True,49,0.998253,0.999998
DoS,CIC,—,Full-40,True,50,1.0,1.0
DoS,CIC,CIC,Target-10,True,50,1.0,1.0
DoS,CIC,UNSW,SHAP-10,True,50,1.0,1.0
DoS,CIC,ToN,SHAP-10,False,50,0.999584,1.0
DoS,CIC,BoT,SHAP-10,False,50,0.99925,1.0
DoS,CIC,Random,Random-10,True,50,0.999917,1.0
DoS,CIC,—,Full-40,True,51,1.0,1.0
DoS,CIC,CIC,Target-10,True,51,0.999917,1.0
DoS,CIC,UNSW,SHAP-10,True,51,0.999917,1.0
DoS,CIC,ToN,SHAP-10,False,51,0.999167,0.999999
DoS,CIC,BoT,SHAP-10,False,51,0.999084,0.999999
DoS,CIC,Random,Random-10,True,51,0.997174,0.999997
DoS,CIC,—,Full-40,True,52,1.0,1.0
DoS,CIC,CIC,Target-10,True,52,1.0,1.0
DoS,CIC,UNSW,SHAP-10,True,52,1.0,1.0
DoS,CIC,ToN,SHAP-10,False,52,0.999334,1.0
DoS,CIC,BoT,SHAP-10,False,52,0.999334,1.0
DoS,CIC,Random,Random-10,True,52,0.998501,0.999998
DoS,CIC,—,Full-40,True,53,0.999833,1.0
DoS,CIC,CIC,Target-10,True,53,0.999917,1.0
DoS,CIC,UNSW,SHAP-10,True,53,0.999833,1.0
